"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"United States","722511","Full-service restaurants","S-corporations","All establishments","2016","100,644","2,051,037","9,115,714","39,649,943"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","104","3,517","18,029","78,201"
"United States","722511","Full-service restaurants","Non-profit","All establishments","2016","192","2,653","10,133","44,960"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2016","53,486","1,335,470","6,027,071","26,487,155"
"United States","722511","Full-service restaurants","Corporations","All establishments","2016","55,870","1,654,210","7,593,766","31,593,036"
"United States","722511","Full-service restaurants","All establishments","All establishments","2016","246,888","5,431,147","24,250,508","104,190,355"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","36,592","384,260","1,485,795","6,337,060"
"United States","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","13,466","23,609","103,687","908,427"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","66,357","106,396","429,836","4,541,373"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","32","15","72","3,341"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","80","125","578","4,057"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","13,887","17,063","68,737","1,339,133"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","17,640","29,584","94,972","676,279"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","21,252","36,000","161,790","1,610,136"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","8,279","55,258","171,649","711,486"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","40,805","277,757","1,065,255","4,588,245"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","33","218","671","2,865"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","17,408","119,701","494,267","2,122,487"
"United States","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","8,052","54,314","224,598","961,560"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","7,025","48,210","173,583","787,973"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","8","56","487","1,874"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","7","110","358","1,423"
"United States","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","8,813","124,028","516,345","2,171,835"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","9,520","134,200","526,592","2,246,071"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","24,448","342,512","1,451,346","6,202,845"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","29","394","1,067","4,722"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","48,795","681,382","2,759,097","11,727,317"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","5,978","80,138","263,389","1,100,421"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","59,239","1,867,125","8,022,661","33,830,539"
"United States","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","13,168","436,443","1,835,072","7,619,583"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","28,587","876,682","3,832,543","16,319,563"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","3,190","93,784","357,863","1,483,421"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","14,231","458,181","1,989,265","8,374,091"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","41","1,231","4,256","18,637"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","22","804","3,662","15,244"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","26,344","1,758,584","8,203,488","33,820,234"
"United States","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","9,789","660,311","3,115,323","12,598,715"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","7,658","498,937","2,292,428","9,677,040"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","7","404","1,753","7,504"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","30","1,982","10,890","46,043"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","1,297","95,760","432,949","1,705,668"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","7,563","501,190","2,350,145","9,785,264"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","1,237","159,327","790,992","3,342,394"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","2","250 to 499 employees","D","D"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","5,154","665,333","3,382,098","14,075,906"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","1,215","155,009","821,110","3,543,228"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","5","550","2,560","10,276"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","201","25,575","134,031","534,415"
"United States","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","2,494","324,591","1,631,597","6,638,418"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","51","15,941","84,112","336,720"
"United States","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","81","25,660","135,114","565,302"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","174","54,672","302,227","1,260,492"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","5","1,639","15,769","64,776"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","37","11,432","67,232","293,694"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","3","1,937","8,236","38,758"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","16","11,011","52,967","231,709"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","7","5,326","21,370","92,643"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","1","500 to 999 employees","D","D"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"United States","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","5","2,972","18,617","77,894"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","1","1,000 to 2,499 employees","D","D"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","4","8,887","32,879","114,540"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"United States","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","2","1,000 to 2,499 employees","D","D"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","1","2,500 to 4,999 employees","D","D"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2016","2,821","66,127","242,515","1,023,947"
"Alabama","722511","Full-service restaurants","Partnerships","All establishments","2016","637","15,465","53,666","234,904"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","2","0 to 19 employees","D","D"
"Alabama","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","507","5,001","16,459","68,333"
"Alabama","722511","Full-service restaurants","Corporations","All establishments","2016","742","25,864","96,287","390,404"
"Alabama","722511","Full-service restaurants","S-corporations","All establishments","2016","933","19,797","76,103","330,273"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","154","143","468","10,922"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","159","276","1,381","10,418"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","675","1,018","4,028","33,980"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","2","0 to 19 employees","D","D"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","100","197","947","5,447"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","260","402","1,232","7,160"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","59","415","1,292","5,299"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","180","1,221","4,732","18,854"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","445","3,030","10,613","42,639"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","90","610","2,222","9,030"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","116","784","2,367","9,456"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","130","1,998","5,996","26,089"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","218","3,041","13,137","54,128"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","137","1,943","6,265","25,447"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","552","7,911","27,977","116,195"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","67","929","2,579","10,531"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","141","4,404","15,855","68,456"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","270","8,674","25,288","103,744"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","44","1,374","4,384","17,938"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","301","9,111","33,610","145,629"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","756","23,563","79,137","335,767"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","147","10,230","42,411","166,110"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","63","4,286","17,718","75,811"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","334","22,988","91,086","368,439"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","106","7,149","25,577","105,454"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","18","1,323","5,380","21,064"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","57","7,104","28,202","117,315"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","11","1,620","4,788","20,175"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","36","4,350","20,353","83,715"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","8","945","2,544","11,241"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","1","100 to 249 employees","D","D"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
