"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","All establishments","All establishments","2019","254,873","119,299,573","28,178,588","5,598,754"
"United States","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","66,253","5,074,249","502,978","105,091"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","42,133","5,388,380","1,281,271","287,110"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","51,969","14,177,295","3,408,134","728,838"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","63,398","40,376,061","9,788,026","1,990,756"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","25,329","35,714,413","8,735,068","1,680,169"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","5,633","16,989,967","4,067,493","745,793"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2019","132","1,141,476","281,013","42,373"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2019","22","346,221","85,538","13,685"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2019","4","91,511","29,067","4,939"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","55,059","33,174,871","7,998,967","1,605,714"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","13,376","977,126","114,481","22,824"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","8,190","1,086,764","258,084","55,219"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","9,157","2,593,693","625,991","130,577"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","12,831","8,211,148","2,012,851","421,373"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","8,735","12,155,966","3,019,421","594,295"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","2,709","7,546,230","1,812,300","357,165"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2019","52","447,902","111,867","17,434"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2019","7","108,299","30,339","4,142"
"United States","722511","Full-service restaurants","S-corporations ","All establishments","2019","106,924","47,284,271","11,112,731","2,186,115"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","21,930","1,817,732","209,753","38,094"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","18,467","2,587,789","618,364","127,616"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","26,420","7,589,293","1,816,973","370,657"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","30,931","19,764,359","4,749,764","946,406"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","7,703","10,859,652","2,607,056","496,602"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2019","1,434","4,306,506","1,024,531","192,876"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2019","34","289,688","70,918","10,651"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 500 to 999 employees","2019","5","69,252","15,372","3,213"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2019","35,245","7,450,016","1,731,171","413,512"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2019","16,025","712,035","95,802","26,237"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2019","7,820","768,536","186,685","52,125"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2019","5,790","1,217,663","295,136","77,978"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2019","3,694","1,926,445","467,135","110,534"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2019","1,723","2,138,330","520,210","118,716"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2019","182","538,552","129,436","23,542"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2019","8","64,227","15,288","2,298"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2019","3","84,228","21,479","2,082"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2019","57,227","31,136,570","7,279,347","1,382,312"
"United States","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2019","14,798","1,551,308","81,838","17,778"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2019","7,606","939,442","216,805","51,810"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","10,540","2,759,814","666,242","148,760"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","15,833","10,415,268","2,544,115","509,137"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","7,113","10,469,570","2,567,182","466,525"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2019","1,291","4,544,516","1,089,463","170,099"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2019","37","328,442","79,920","11,701"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2019","7","84,442","18,348","4,248"
"United States","722511","Full-service restaurants","Non-profit","All establishments","2019","210","63,656","14,582","2,983"
"United States","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2019","85","7,261","871","128"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2019","38","4,148","949","264"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2019","40","8,470","1,955","561"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2019","36","20,686","4,941","1,142"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2019","10","11,874","2,846","599"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2019","208","190,189","41,790","8,118"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2019","39","8,787","233","30"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2019","12","1,701","384","76"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2019","22","8,362","1,837","305"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2019","73","38,155","9,220","2,164"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2019","45","79,021","18,353","3,432"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2019","17","54,163","11,763","2,111"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2019","2,844","1,184,707","280,455","69,381"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","612","37,292","4,383","958"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","416","47,511","11,396","2,828"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","627","150,001","36,605","8,940"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","780","401,358","96,521","25,008"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","340","402,371","97,438","23,288"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","69","146,174","34,112","8,359"
