"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","All establishments","All establishments","2022","257,282","140,091,983","31,003,406","5,208,895"
"United States","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2022","68,061","6,402,652","667,465","110,533"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2022","44,220","7,456,239","1,693,170","300,341"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2022","54,852","19,402,375","4,433,443","766,514"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2022","64,264","50,853,810","11,487,851","1,977,787"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2022","21,332","37,931,829","8,588,718","1,422,115"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2022","4,444","16,557,225","3,805,187","588,824"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2022","96","1,053,371","240,951","30,873"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2022","10","242,085","50,372","5,944"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2022","3","192,397","36,249","5,964"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2022","51,335","36,316,855","8,302,255","1,389,309"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","12,927","1,124,315","146,969","22,498"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","7,986","1,364,339","317,666","53,330"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","9,116","3,489,959","814,639","129,744"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","11,838","9,797,307","2,245,405","381,821"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","7,384","12,955,366","3,001,343","513,534"
