"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","All establishments","All establishments","2017","250,871","107,962,873","25,647,257","5,495,597"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","54,925","31,291,315","7,608,210","1,603,491"
"United States","722511","Full-service restaurants","S-corporations ","All establishments","2017","105,751","42,394,417","9,967,846","2,134,782"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","36,177","6,733,156","1,596,741","411,308"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2017","53,683","27,343,633","6,426,553","1,336,769"
"United States","722511","Full-service restaurants","Non-profit","All establishments","2017","200","52,594","12,261","2,687"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","135","147,758","35,646","6,560"
"United States","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","66,052","4,605,426","456,489","106,931"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","13,087","831,416","106,254","23,239"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","22,453","1,753,562","180,403","37,784"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","16,717","652,969","95,375","28,393"
"United States","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","13,686","1,361,744","73,620","17,361"
"United States","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2017","91","4,264","712","136"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2017","18","1,471","125","18"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","41,391","4,908,027","1,157,499","282,423"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","8,035","983,527","234,689","54,385"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","18,181","2,357,229","555,643","125,165"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","8,047","734,879","178,925","53,815"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","7,085","827,253","187,041","48,761"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2017","36","3,760","830","248"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2017","7","1,379","371","49"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","50,972","12,700,025","3,070,143","714,329"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","9,268","2,402,015","584,876","131,462"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","25,909","6,805,394","1,630,392","364,147"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","6,060","1,155,690","285,053","81,417"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","9,709","2,331,700","568,611","136,927"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2017","23","4,455","1,041","327"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2017","3","771","170","49"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","60,940","35,841,645","8,737,894","1,912,188"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","12,750","7,755,581","1,921,142","419,246"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","30,013","17,591,330","4,232,044","916,636"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","3,529","1,652,363","409,707","104,520"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","14,567","8,793,924","2,163,193","469,105"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2017","39","19,801","4,731","1,194"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2017","42","28,646","7,077","1,487"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","26,168","33,972,364","8,361,058","1,741,952"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","9,240","12,004,915","2,983,031","625,468"
