"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","All establishments","All establishments","2020","249,975","90,064,718","28,424,195","5,456,073"
"United States","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","63,549","3,868,772","566,697","108,198"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","42,345","4,834,476","1,374,663","288,528"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","52,476","12,143,714","3,621,081","734,313"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","62,393","31,449,699","10,018,467","1,954,386"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","23,520","25,052,349","8,400,082","1,562,024"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","5,519","11,642,578","4,013,541","740,731"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2020","140","750,449","301,684","44,313"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2020","29","261,008","105,531","18,143"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2020","4","61,673","22,449","5,437"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","53,735","25,104,436","8,192,964","1,604,290"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","12,767","736,636","133,498","23,110"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","7,915","912,083","261,064","53,144"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","9,014","2,138,004","643,568","127,811"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","12,990","6,534,238","2,121,156","427,102"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","8,131","8,776,934","2,938,873","554,603"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","2,845","5,552,903","1,911,436","388,934"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","57","289,254","120,250","18,576"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","15","140,731","54,349","9,541"
"United States","722511","Full-service restaurants","S-corporations","All establishments","2020","106,352","36,955,752","11,109,320","2,110,521"
"United States","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","21,844","1,480,325","228,429","40,426"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","18,998","2,415,986","671,942","130,843"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","27,041","6,645,827","1,938,025","378,764"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","29,991","15,474,998","4,757,304","914,502"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","7,159","7,803,136","2,494,204","463,238"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","1,285","2,889,582","930,802","168,962"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2020","27","173,151","63,374","8,548"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2020","5","47,190","16,413","3,095"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","33,452","5,500,294","1,733,566","400,021"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","14,911","560,391","97,819","25,373"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","7,471","628,883","185,830","49,921"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","5,584","971,797","297,267","75,587"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","3,638","1,525,894","485,075","109,313"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","1,676","1,432,164","504,779","114,076"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2020","159","302,473","125,859","20,769"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2020","10","57,067","22,253","3,016"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2020","3","21,625","14,684","1,966"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2020","55,992","22,362,513","7,341,822","1,332,602"
"United States","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","13,848","1,081,189","105,884","19,123"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","7,906","872,861","254,429","54,256"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","10,760","2,373,816","737,346","151,018"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","15,701","7,879,158","2,643,724","501,189"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","6,503","6,992,560","2,443,543","426,672"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","1,221","2,868,027","1,036,152","160,805"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2020","46","230,977","95,807","14,173"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2020","6","51,462","20,085","3,541"
"United States","722511","Full-service restaurants","Non-profit","All establishments","2020","223","52,033","15,433","3,139"
"United States","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2020","89","4,985","917","131"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2020","42","3,438","1,024","280"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2020","44","7,409","2,268","639"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2020","35","16,231","4,789","1,088"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2020","12","10,025","3,789","760"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2020","221","89,690","31,090","5,500"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2020","90","5,246","150","35"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2020","13","1,225","374","84"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2020","33","6,861","2,607","494"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2020","38","19,180","6,419","1,192"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2020","39","37,530","14,894","2,675"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2020","8","19,648","6,646","1,020"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2020","2,784","1,000,147","283,280","68,423"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","577","29,965","4,539","965"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","415","47,959","11,816","2,769"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","600","134,476","35,691","8,558"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","788","352,593","98,963","25,003"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","334","312,512","96,842","22,277"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","68","115,626","34,117","8,376"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","720","349,746","105,352","26,561"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","67","3,882","684","116"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","56","5,615","1,580","382"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","153","33,007","9,072","2,326"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","269","105,833","29,993","8,856"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","130","119,670","39,663","9,229"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","45","81,739","24,360","5,652"
"Alabama","722511","Full-service restaurants","S-corporations","All establishments","2020","1,010","355,304","95,488","21,292"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","174","12,847","1,829","295"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","180","25,052","5,928","1,193"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","255","63,375","16,306","3,523"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","311","156,876","43,067","9,600"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","76","74,539","21,969","4,848"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","13","19,162","5,646","1,588"
"Alabama","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","406","59,306","17,321","4,796"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","176","5,169","1,097","326"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","90","8,145","2,153","597"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","74","12,134","3,303","1,000"
