"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","All establishments","All establishments","2021","250,186","118,333,611","22,094,798","4,361,855"
"United States","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2021","74,388","7,214,516","640,290","119,477"
"United States","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2021","46,180","8,271,926","1,560,377","313,744"
"United States","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2021","54,155","19,659,591","3,773,841","756,674"
"United States","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2021","56,579","45,292,678","8,686,310","1,736,017"
"United States","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2021","16,262","28,207,807","5,526,223","1,077,872"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2021","2,560","8,939,266","1,767,517","332,774"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2021","52","486,251","93,105","16,669"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2021","8","156,772","30,927","5,205"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2021","51,032","30,998,009","6,120,077","1,183,127"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2021","14,614","1,293,871","141,340","24,905"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2021","8,428","1,507,039","301,561","56,429"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2021","8,984","3,359,003","685,808","128,224"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2021","11,323","9,651,197","1,919,789","369,971"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2021","6,485","10,948,339","2,231,765","442,590"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2021","1,174","3,939,757","786,191","152,833"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2021","23","237,617","42,962","7,599"
"United States","722511","Full-service restaurants","S-corporations","All establishments","2021","108,279","48,961,609","9,208,915","1,785,996"
"United States","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2021","26,384","2,764,176","276,141","46,484"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2021","21,639","4,153,171","792,696","148,328"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2021","28,270","10,586,481","2,033,690","393,594"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2021","26,523","20,754,188","3,984,433","787,867"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2021","4,657","7,993,383","1,554,544","301,867"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2021","793","2,600,317","544,927","103,367"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2021","11","84,572","17,035","3,152"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2021","33,839","7,524,218","1,402,910","338,980"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2021","15,997","963,831","105,841","25,481"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2021","7,194","917,046","183,063","47,903"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2021","5,521","1,499,289","295,041","75,418"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2021","4,252","2,651,494","531,976","127,595"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2021","813","1,188,484","236,635","52,439"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2021","59","234,132","38,671","7,634"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2021","56,634","30,687,663","5,331,681","1,047,978"
"United States","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2021","17,218","2,178,000","115,915","22,426"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2021","8,853","1,684,363","280,710","60,607"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2021","11,312","4,192,047","754,924","158,532"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2021","14,419","12,193,655","2,241,854","448,783"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2021","4,281","8,029,285","1,493,220","279,236"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2021","529","2,141,124","392,608","68,271"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2021","17","154,779","31,479","5,529"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2021","4","60,156","11,939","2,762"
"United States","722511","Full-service restaurants","Non-profit","All establishments","2021","212","67,017","12,121","2,487"
"United States","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2021","96","10,908","775","141"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2021","36","4,481","913","248"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2021","41","12,803","2,238","543"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2021","29","18,638","3,484","821"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2021","9","11,339","2,532","543"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2021","190","95,095","19,094","3,287"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2021","79","3,730","278","40"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2021","30","5,826","1,434","229"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2021","27","9,968","2,140","363"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2021","33","23,506","4,774","980"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2021","17","36,977","7,527","1,197"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2021","4","15,088","2,941","478"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2021","2,768","1,217,734","261,773","56,620"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2021","638","49,497","5,095","1,002"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2021","438","67,533","14,696","2,986"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2021","686","203,971","46,701","9,905"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2021","729","465,814","102,022","22,233"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2021","248","355,331","77,972","16,795"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2021","28","71,241","14,391","3,433"
